"FVH","sexo","edad","horas_tnr","ingreso_mensual","nivel_pobreza","etnia","afrod","discapacidad","zona","entidad","region","escolaridad","est_dis","upm","factor"
"10002550312","Mujer",50,13,7826,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,25,171
"10002550415","Hombre",17,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,25,171
"10002550512","Mujer",35,35,587,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,25,171
"10002550514","Mujer",15,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,25,171
"10002790112","Mujer",29,56,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,27,200
"10002790213","Mujer",14,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,27,200
"10002790612","Mujer",55,35,4891,"No Pobreza","No","No","Si","Urbana","Aguascalientes","Centro","Secundaria",2,27,200
"10002790615","Mujer",19,56,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,27,200
"10002800112","Mujer",38,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,28,331
"10002800113","Hombre",13,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,28,331
"10002800412","Hombre",64,12,7826,"No Pobreza","No","No","Si","Urbana","Aguascalientes","Centro","Licenciatura",3,28,331
"10002800612","Mujer",35,41,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,28,331
"10002920213","Mujer",12,15,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,29,165
"10002920312","Mujer",24,28,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,29,165
"10002920313","Hombre",12,4,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,29,165
"10003040111","Mujer",45,24,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,30,211
"10003040612","Mujer",24,17,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,30,211
"10003140312","Mujer",49,63,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Preparatoria",1,31,197
"10003140314","Mujer",25,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,31,197
"10003140511","Mujer",44,35,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Primaria",1,31,197
"10003140513","Mujer",14,21,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,31,197
"10003140612","Mujer",43,42,0,"Pobreza por Ingresos Extrema","No","Si","No","Urbana","Aguascalientes","Centro","Secundaria",1,31,197
"10003140614","Hombre",15,2,0,"Pobreza por Ingresos Extrema","No","Si","No","Urbana","Aguascalientes","Centro","Secundaria",1,31,197
"10003140615","Mujer",12,7,0,"Pobreza por Ingresos Extrema","No","Si","No","Urbana","Aguascalientes","Centro","Primaria",1,31,197
"10003250112","Mujer",28,48,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,32,202
"10003330212","Mujer",38,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,33,227
"10003330413","Hombre",14,1,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,33,227
"10003330512","Mujer",34,8,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",3,33,227
"10003330513","Mujer",12,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,33,227
"10003330611","Hombre",52,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,33,227
"10003460111","Hombre",20,7,3443,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,34,192
"10003460112","Mujer",18,24,3443,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,34,192
"10003460211","Mujer",33,89,1967,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,34,192
"10003460212","Hombre",14,21,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,34,192
"10003460312","Mujer",23,49,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,34,192
"10003460513","Mujer",22,49,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,34,192
"10003580113","Mujer",21,33,787,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,35,207
"10003580311","Mujer",63,21,4525,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,35,207
