folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,focos_ahor,combus,fogon_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,finan_1,finan_2,finan_3,finan_4,finan_5,finan_6,finan_7,finan_8,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,calen_lena,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,tam_loc,est_socio,est_dis,upm,factor,procaptar
0100010905,1,8,10,3,23,,1,2,3,5,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,4, ,2500, ,,4,,,,,,,,,,01,1,,,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,5,2,3,1,01001,1,2,002,0000010,194,0
0100010906,1,8,10,3,25,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,11,11,3,,3,4, ,3000, ,,1,1,,,,,,,,8,02,1,,,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,2,002,0000010,194,0
0100011801,1,8,10,3,24,,1,2,3,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,2500,2000,1,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,4,3,1,01001,1,3,001,0000011,207,0
0100011802,1,8,10,3,20,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,0,1,1,8,8,7,,3,3, ,1500,2000,1,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,01001,1,3,001,0000011,207,0
0100011803,1,8,10,3,1,,1,2,1,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,5,3,3,,3,1,2000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,3,001,0000011,207,0
0100011804,1,8,10,3,20,,1,2,4,5,1,1,1,,1,1,2,1,2,2,0,0,1,1,10,10,3,,3,2, ,3500, ,,,,,,,,,,,,,,,,,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,6,4,2,1,01001,1,3,001,0000011,207,0
0100011805,1,8,10,3,1,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,3,3,3,,3,1,1200, , ,1,,,,,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,0,1,1,01001,1,3,001,0000011,207,0
0100011806,1,8,10,3,24,,1,2,2,5,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,4, ,3000, ,,1,2,1,,,,,,,,01,1,,,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,3,001,0000011,207,0
0100012001,1,8,10,3, ,1,1,2,3,4,1,1,1,,2,1,2,1,1,1,1,0,1,1,10,10,3,,3,1,3000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,4,2,2,1,01001,1,3,001,0000012,191,0
0100012004,1,8,10,3,16,,1,2,3,5,1,1,1,,1,1,2,1,2,2,0,0,1,1,7,7,3,,3,4, ,3000, ,,1,2,,2,,,,,,,01,1,02,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,3,001,0000012,191,0
